                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47966,                0.46164,                 1.0641,                  0.924,                 0.8619,                0.94351,                0.82503,                0.49585,                0.50783,                 1.0265,             0.00065972,             0.00065972,             0.00065972
                      2,                0.55662,                0.51625,                  1.117,                  0.895,                0.83408,                0.91529,                0.76089,                0.61045,                0.64937,                 1.1284,              0.0011951,              0.0011951,              0.0011951
                      3,                0.54948,                0.52157,                 1.1081,                0.89185,                0.79886,                0.90317,                0.75991,                0.58455,                0.64851,                 1.0997,              0.0015984,              0.0015984,              0.0015984
                      4,                0.54988,                0.52486,                 1.1214,                0.91117,                0.82712,                0.91635,                0.76263,                 0.6165,                0.59608,                  1.136,               0.001406,               0.001406,               0.001406
                      5,                0.54742,                0.51952,                 1.1057,                0.89209,                0.84749,                0.92131,                0.79396,                0.55095,                 0.5373,                 1.0708,               0.001208,               0.001208,               0.001208
                      6,                0.52467,                0.48019,                 1.1019,                0.93762,                0.85873,                0.93966,                0.81208,                0.53752,                0.48511,                 1.0607,                0.00101,                0.00101,                0.00101
                      7,                0.49585,                0.45474,                 1.0729,                0.93859,                0.87978,                0.94785,                0.83865,                0.47281,                0.47025,                 1.0069,               0.000812,               0.000812,               0.000812
                      8,                0.46206,                0.41978,                 1.0516,                0.94804,                0.86736,                0.95156,                0.84076,                0.46633,                0.43095,                 1.0018,               0.000614,               0.000614,               0.000614
                      9,                 0.4381,                 0.3921,                  1.027,                0.96867,                0.89071,                0.96333,                0.87236,                0.42342,                0.37102,                0.96799,               0.000416,               0.000416,               0.000416
                     10,                0.42237,                0.37428,                 1.0185,                0.95532,                0.91803,                0.97133,                0.88209,                0.40383,                0.35133,                 0.9503,               0.000218,               0.000218,               0.000218
