                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88107,                 1.6054,                 1.3339,                0.77691,                0.63382,                0.69414,                0.43603,                 1.0679,                 2.0704,                 1.6003,                0.00066,                0.00066,                0.00066
                      2,                0.97263,                 1.3071,                 1.3763,                0.59242,                0.54741,                0.49658,                0.23474,                 1.5707,                 2.1697,                 2.3744,              0.0012391,              0.0012391,              0.0012391
                      3,                 1.0268,                 1.1918,                 1.4148,                0.72672,                0.62971,                0.67007,                 0.4044,                 1.1862,                 1.8359,                 1.7783,              0.0017302,              0.0017302,              0.0017302
                      4,                0.99254,                 1.0644,                 1.3813,                0.79679,                0.62633,                0.70029,                0.40699,                 1.3854,                 1.4113,                 2.1416,               0.001604,               0.001604,               0.001604
                      5,                0.94358,                0.99033,                 1.3648,                0.87919,                0.69547,                0.79118,                0.57587,                0.94566,                 1.0558,                   1.47,               0.001472,               0.001472,               0.001472
                      6,                0.87998,                 1.0229,                 1.3969,                0.83866,                0.65203,                0.74094,                0.47079,                 1.1836,                 1.3533,                 1.7275,                0.00134,                0.00134,                0.00134
                      7,                0.82767,                0.90633,                 1.3636,                0.83503,                0.67632,                0.74586,                0.52747,                 1.0694,                 1.1651,                 1.6647,               0.001208,               0.001208,               0.001208
                      8,                0.76291,                0.81771,                 1.3022,                 0.9008,                0.74223,                0.84047,                0.64748,                0.80338,                0.82804,                 1.3122,               0.001076,               0.001076,               0.001076
                      9,                0.71161,                0.75131,                 1.2531,                0.91087,                0.76852,                0.86359,                0.68156,                0.75118,                0.73623,                 1.2689,               0.000944,               0.000944,               0.000944
                     10,                0.69479,                0.72281,                 1.2463,                0.91926,                0.76578,                0.86778,                0.71917,                0.66699,                  0.726,                 1.1948,               0.000812,               0.000812,               0.000812
                     11,                0.63763,                 0.6605,                 1.2015,                0.91638,                 0.7744,                0.88221,                 0.7208,                0.64373,                0.71543,                 1.1815,                0.00068,                0.00068,                0.00068
                     12,                0.61131,                0.62759,                 1.1824,                0.92398,                0.78468,                 0.8897,                 0.7443,                0.60832,                0.63519,                 1.1346,               0.000548,               0.000548,               0.000548
                     13,                0.59077,                0.59184,                  1.146,                0.91196,                0.82298,                0.91161,                 0.7818,                0.55822,                0.56163,                 1.0889,               0.000416,               0.000416,               0.000416
                     14,                0.54114,                0.53899,                 1.1083,                0.91938,                0.82561,                0.91698,                  0.792,                0.52941,                0.55624,                 1.0619,               0.000284,               0.000284,               0.000284
                     15,                0.51633,                0.52297,                 1.0942,                0.92611,                0.83708,                0.92548,                0.80726,                0.50172,                0.50568,                 1.0427,               0.000152,               0.000152,               0.000152
