                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76649,                0.79811,                 1.2549,                0.90811,                0.78008,                 0.8896,                0.74392,                0.64077,                0.65302,                 1.1432,                0.00066,                0.00066,                0.00066
                      2,                0.79299,                0.80901,                 1.2543,                0.88205,                0.75619,                0.85449,                0.66475,                0.78388,                0.85994,                 1.2996,              0.0012741,              0.0012741,              0.0012741
                      3,                0.84205,                0.81876,                 1.2809,                0.87888,                0.76787,                0.84889,                0.60621,                0.90144,                 1.0845,                 1.3972,              0.0018355,              0.0018355,              0.0018355
                      4,                0.84624,                0.83528,                 1.2816,                 0.8901,                0.74591,                0.84996,                0.64258,                 0.8449,                0.83621,                 1.3692,              0.0017624,              0.0017624,              0.0017624
                      5,                0.82154,                 0.8083,                 1.2736,                0.87721,                0.73003,                0.81585,                0.59299,                0.95146,                0.94745,                  1.456,              0.0016832,              0.0016832,              0.0016832
                      6,                0.83852,                0.83491,                  1.286,                0.87585,                0.75784,                0.84828,                0.64522,                0.80349,                0.84408,                 1.3109,               0.001604,               0.001604,               0.001604
                      7,                0.79721,                0.79514,                 1.2657,                0.89234,                0.75012,                 0.8382,                0.65292,                0.80072,                0.91378,                 1.3157,              0.0015248,              0.0015248,              0.0015248
                      8,                0.80009,                 0.7719,                 1.2555,                0.86816,                0.75663,                0.85647,                0.68123,                0.74867,                0.79678,                  1.264,              0.0014456,              0.0014456,              0.0014456
                      9,                0.76997,                0.77464,                 1.2499,                0.90118,                0.78281,                0.87916,                0.70793,                0.68668,                0.75486,                 1.1969,              0.0013664,              0.0013664,              0.0013664
                     10,                0.76381,                0.75174,                 1.2453,                0.91823,                0.78151,                  0.885,                0.70181,                0.72815,                0.71946,                  1.232,              0.0012872,              0.0012872,              0.0012872
                     11,                0.72983,                0.72071,                 1.2195,                0.90495,                0.79823,                0.89085,                 0.7158,                0.71485,                0.65787,                 1.2236,               0.001208,               0.001208,               0.001208
                     12,                0.75134,                0.74805,                 1.2309,                0.91769,                0.80718,                 0.8958,                 0.7384,                0.63809,                0.63208,                 1.1624,              0.0011288,              0.0011288,              0.0011288
                     13,                0.72487,                0.70606,                 1.2175,                0.93286,                0.79355,                0.90215,                 0.7453,                   0.65,                0.63242,                 1.1649,              0.0010496,              0.0010496,              0.0010496
                     14,                0.69779,                0.70362,                 1.2011,                0.92691,                0.82335,                0.91596,                0.77392,                  0.597,                0.57857,                 1.1208,              0.0009704,              0.0009704,              0.0009704
                     15,                0.69452,                0.67578,                 1.2006,                0.91408,                0.82298,                0.91071,                0.76667,                 0.5881,                0.61186,                 1.1193,              0.0008912,              0.0008912,              0.0008912
                     16,                0.60164,                0.59893,                 1.1622,                0.93906,                0.79888,                0.90775,                0.76968,                0.58064,                0.58152,                 1.1111,               0.000812,               0.000812,               0.000812
                     17,                0.55968,                 0.5463,                 1.1249,                0.92927,                0.83458,                0.92795,                0.78768,                0.56684,                0.54172,                 1.0968,              0.0007328,              0.0007328,              0.0007328
                     18,                0.55072,                0.52911,                 1.1296,                0.92828,                0.84035,                0.92703,                0.79164,                0.55511,                0.51885,                 1.0824,              0.0006536,              0.0006536,              0.0006536
                     19,                0.52687,                0.48581,                 1.1172,                0.94717,                0.83699,                0.93248,                 0.8005,                 0.5358,                 0.5037,                 1.0761,              0.0005744,              0.0005744,              0.0005744
                     20,                0.50086,                0.47229,                 1.0828,                0.92603,                 0.8654,                0.94343,                0.82442,                0.49442,                0.47945,                 1.0307,              0.0004952,              0.0004952,              0.0004952
                     21,                0.47882,                0.45491,                 1.0673,                0.93337,                0.87109,                0.94621,                0.83573,                0.47219,                0.44339,                  1.016,               0.000416,               0.000416,               0.000416
