                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1307,                 1.8928,                 1.4278,                0.45053,                0.10568,                0.09382,                0.06115,                  3.016,                 3.6683,                 2.9259,             0.00065812,             0.00065812,             0.00065812
                      2,                 1.1531,                  1.544,                  1.443,                0.25227,                0.09035,                0.05628,                0.02641,                 3.3115,                 3.6108,                 3.5077,              0.0012374,              0.0012374,              0.0012374
                      3,                  1.162,                 1.4081,                 1.4315,                0.28973,                0.10568,                0.07512,                0.03787,                 3.1852,                 5.8375,                 3.2734,              0.0017286,              0.0017286,              0.0017286
                      4,                 1.1316,                 1.2969,                 1.4195,                0.35268,                0.11709,                0.08413,                0.04718,                 3.0121,                 3.5608,                  3.175,               0.001604,               0.001604,               0.001604
                      5,                 1.0884,                 1.2077,                 1.4044,                0.39518,                0.11337,                  0.109,                0.05171,                 3.0184,                 3.1451,                 2.9668,               0.001472,               0.001472,               0.001472
                      6,                 2.3652,                 2.8669,                 2.3572,                0.11118,                0.07273,                0.03627,                0.01385,                 3.2797,                 4.7879,                 3.4249,                0.00134,                0.00134,                0.00134
                      7,                 2.2581,                 2.6788,                 2.3116,                0.33325,                0.10144,                0.10275,                0.05496,                 2.7591,                 3.1579,                 2.9796,               0.001208,               0.001208,               0.001208
                      8,                 2.1487,                 2.5799,                 2.1849,                0.49769,                0.10502,                0.11799,                0.07377,                 2.6033,                 2.9644,                 2.8788,               0.001076,               0.001076,               0.001076
                      9,                 2.0488,                 2.4266,                 2.1129,                0.30606,                0.19798,                0.17752,                0.10388,                 2.6068,                 2.5791,                  2.864,               0.000944,               0.000944,               0.000944
                     10,                 1.9899,                 2.4129,                 2.1062,                0.44215,                 0.1621,                0.20758,                0.12318,                 2.4745,                  2.419,                 2.7038,               0.000812,               0.000812,               0.000812
                     11,                  1.909,                 2.2496,                 2.0084,                0.47253,                0.15398,                 0.2155,                0.12553,                 2.4545,                 2.3281,                 2.5982,                0.00068,                0.00068,                0.00068
                     12,                 1.8589,                 2.1898,                  1.966,                0.36847,                0.24625,                0.22973,                0.13908,                 2.3913,                 2.2679,                 2.5758,               0.000548,               0.000548,               0.000548
                     13,                 1.8245,                 2.1127,                 1.9239,                0.32137,                0.22211,                0.21722,                0.13585,                 2.3651,                 2.2212,                 2.5704,               0.000416,               0.000416,               0.000416
                     14,                 1.7664,                 2.0469,                 1.8718,                0.33728,                0.28669,                0.25531,                0.15895,                 2.2775,                 2.1275,                 2.5018,               0.000284,               0.000284,               0.000284
                     15,                 1.7272,                 2.0129,                  1.837,                 0.4011,                0.30333,                0.28666,                 0.1775,                 2.2247,                 2.0427,                 2.4434,               0.000152,               0.000152,               0.000152
