                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0059,                 2.3026,                 2.0126,                0.28466,                 0.2107,                 0.2132,                0.12659,                 2.3565,                 2.3828,                  2.432,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.0189,                 2.3367,                 2.0207,                 0.3678,                0.16308,                0.19183,                0.10956,                 2.4833,                 2.3971,                 2.6301,              0.0012592,              0.0012592,              0.0012592
                      3,                 2.0303,                 2.3555,                 2.0052,                0.34907,                0.14775,                0.16995,                0.08914,                 2.5734,                 2.6975,                 2.6371,              0.0017943,              0.0017943,              0.0017943
                      4,                 2.0134,                 2.3427,                 2.0289,                 0.2303,                 0.1131,                0.10821,                0.05044,                 2.6353,                 3.5537,                 2.7704,               0.001703,               0.001703,               0.001703
                      5,                 2.0589,                 2.3999,                 2.0499,                0.34541,                0.19504,                0.17445,                0.09847,                 2.5549,                 2.7408,                 2.7304,               0.001604,               0.001604,               0.001604
                      6,                 1.9779,                 2.2987,                 2.0012,                0.26938,                0.19961,                0.17589,                0.09865,                 2.5013,                 2.5537,                 2.7635,               0.001505,               0.001505,               0.001505
                      7,                 1.9298,                 2.2162,                 1.9535,                0.23299,                0.17384,                0.17781,                0.10904,                 2.3697,                 2.6104,                 2.6068,               0.001406,               0.001406,               0.001406
                      8,                 1.9263,                 2.2712,                 1.9825,                0.21698,                0.21102,                0.13546,                0.06622,                 2.4579,                 2.7121,                 2.6882,               0.001307,               0.001307,               0.001307
                      9,                 1.9204,                  2.196,                 1.9361,                0.35681,                0.29583,                0.26876,                0.14834,                 2.2962,                 2.3371,                 2.4731,               0.001208,               0.001208,               0.001208
                     10,                 1.8341,                  2.138,                 1.8728,                0.31945,                0.24853,                0.22459,                0.13456,                 2.2683,                 2.2814,                 2.4508,               0.001109,               0.001109,               0.001109
                     11,                 1.7922,                 2.1596,                 1.8841,                0.37322,                0.31344,                0.28253,                0.16304,                 2.2266,                 2.1097,                 2.4444,                0.00101,                0.00101,                0.00101
                     12,                 1.7157,                 2.0388,                 1.8082,                0.33495,                0.30039,                0.26932,                 0.1594,                 2.2305,                 2.1453,                 2.4339,               0.000911,               0.000911,               0.000911
                     13,                 1.7084,                 2.0128,                 1.7854,                0.37722,                0.31963,                0.30159,                0.17777,                 2.1429,                 2.0428,                 2.3538,               0.000812,               0.000812,               0.000812
                     14,                 1.6458,                 1.9475,                 1.7404,                0.36117,                  0.318,                0.30139,                0.18167,                 2.1097,                 1.9801,                 2.3144,               0.000713,               0.000713,               0.000713
                     15,                 1.6259,                 1.9105,                 1.7378,                0.37745,                0.32453,                0.30325,                0.18752,                 2.1061,                 1.9503,                 2.3473,               0.000614,               0.000614,               0.000614
                     16,                 1.5987,                 1.8585,                 1.7014,                 0.3912,                0.36595,                0.32741,                0.20745,                 2.0212,                 1.8985,                 2.2711,               0.000515,               0.000515,               0.000515
                     17,                   1.55,                 1.7837,                 1.6658,                0.42078,                0.38063,                0.35824,                0.21971,                 2.0194,                 1.8199,                 2.2875,               0.000416,               0.000416,               0.000416
                     18,                 1.5225,                 1.7412,                 1.6331,                0.44937,                0.37117,                0.37321,                0.23491,                 1.9863,                 1.7924,                 2.2654,               0.000317,               0.000317,               0.000317
                     19,                 1.5132,                 1.7317,                 1.6277,                0.46334,                0.38584,                0.38311,                0.24304,                 1.9677,                 1.7709,                 2.2568,               0.000218,               0.000218,               0.000218
                     20,                  1.484,                 1.7109,                 1.6283,                0.48117,                0.39008,                0.40092,                0.25878,                 1.9355,                 1.7304,                 2.2453,               0.000119,               0.000119,               0.000119
