                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8884,                0.96417,                 1.2746,                 0.7067,                0.72727,                0.78021,                0.55231,                0.86605,                 1.0888,                 1.2015,                0.00032,                0.00032,                0.00032
                      2,                0.84286,                0.85058,                 1.2292,                0.77854,                0.70686,                0.79984,                  0.574,                0.88098,                0.97778,                 1.2027,             0.00062733,             0.00062733,             0.00062733
                      3,                 0.8912,                0.85716,                 1.2248,                0.80965,                0.67718,                0.79455,                0.58146,                0.92262,                0.92063,                 1.2299,               0.000901,               0.000901,               0.000901
                      4,                0.87301,                0.88457,                 1.2362,                 0.7943,                0.73469,                0.81736,                0.60593,                0.88295,                0.85194,                 1.2098,               0.001141,               0.001141,               0.001141
                      5,                0.87236,                0.84835,                 1.2487,                0.74057,                0.70437,                0.78787,                0.56989,                0.90811,                0.93548,                 1.2439,              0.0013474,              0.0013474,              0.0013474
                      6,                 0.8889,                0.88553,                 1.2612,                0.81875,                0.67887,                0.79035,                0.58866,                0.89148,                0.93589,                 1.2363,               0.001505,               0.001505,               0.001505
                      7,                0.88619,                0.88775,                 1.2545,                0.73237,                0.71058,                0.80005,                0.59336,                0.91395,                0.93128,                 1.2356,               0.001406,               0.001406,               0.001406
                      8,                0.81886,                 0.8312,                 1.2189,                0.84543,                0.70501,                0.81616,                0.60935,                0.89224,                0.88475,                  1.228,               0.001307,               0.001307,               0.001307
                      9,                0.86738,                0.85415,                 1.2398,                0.83621,                0.73883,                0.83941,                0.63448,                0.85897,                0.82293,                  1.187,               0.001208,               0.001208,               0.001208
                     10,                0.81979,                0.77567,                 1.1837,                0.82854,                0.77551,                  0.845,                0.64371,                0.84809,                0.79977,                 1.1725,               0.001109,               0.001109,               0.001109
                     11,                0.86219,                0.87923,                 1.2464,                0.84868,                0.73469,                0.83981,                0.63134,                0.84099,                0.84867,                 1.1944,                0.00101,                0.00101,                0.00101
                     12,                 0.8306,                 0.8147,                 1.2275,                0.84081,                0.74768,                0.84886,                 0.6376,                0.82179,                0.82181,                 1.1881,               0.000911,               0.000911,               0.000911
                     13,                0.83134,                0.80087,                 1.2436,                0.77537,                0.76809,                0.84592,                0.61901,                0.81588,                0.90693,                 1.1784,               0.000812,               0.000812,               0.000812
                     14,                0.79375,                0.79612,                  1.219,                0.82531,                0.76623,                0.86613,                0.66366,                0.76806,                0.84052,                 1.1326,               0.000713,               0.000713,               0.000713
                     15,                0.76509,                0.73581,                 1.1881,                0.84014,                 0.7898,                 0.8759,                0.67088,                0.77759,                0.76834,                 1.1407,               0.000614,               0.000614,               0.000614
                     16,                0.75463,                0.74494,                 1.1693,                0.85344,                0.81447,                0.89491,                0.70482,                0.73146,                0.69403,                 1.0885,               0.000515,               0.000515,               0.000515
                     17,                0.71996,                 0.6832,                  1.126,                 0.8488,                0.81262,                0.90304,                0.71029,                 0.7172,                0.67806,                 1.0771,               0.000416,               0.000416,               0.000416
                     18,                 0.7381,                0.70626,                 1.1351,                0.85985,                0.79681,                0.90177,                0.71532,                0.69821,                0.67077,                 1.0667,               0.000317,               0.000317,               0.000317
                     19,                 0.6861,                0.64829,                 1.1099,                0.86718,                0.81158,                0.90802,                0.72849,                0.67633,                0.65468,                  1.056,               0.000218,               0.000218,               0.000218
                     20,                0.71895,                0.66623,                 1.1534,                0.87272,                0.82687,                 0.9151,                0.74208,                  0.658,                0.63132,                 1.0452,               0.000119,               0.000119,               0.000119
