                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60474,                 1.1214,                0.57949,                 1.0641,                0.93244,                0.81677,                0.89885,                0.71749,                0.93746,                0.81633,                0.89788,                0.70826,                0.70426,                 1.1912,                0.64307,                  1.223,             0.00065359,             0.00065359,             0.00065359
                      2,                 0.6506,                 1.2059,                0.59807,                 1.0802,                 0.8975,                 0.8041,                0.87671,                0.67451,                0.91029,                 0.8102,                0.88227,                0.64907,                0.77092,                 1.5088,                0.75841,                  1.273,              0.0012941,              0.0012941,              0.0012941
                      3,                0.69979,                 1.2413,                0.64128,                 1.1196,                0.88745,                0.83878,                0.88166,                0.68532,                0.87952,                0.83428,                 0.8791,                0.66462,                0.78892,                 1.3482,                0.75132,                 1.3283,              0.0019082,              0.0019082,              0.0019082
                      4,                0.72271,                 1.3063,                0.67919,                 1.1225,                0.88104,                0.78593,                0.86325,                0.66336,                0.88786,                0.77959,                0.85664,                0.64075,                0.76509,                 1.3589,                0.82311,                 1.2777,              0.0018812,              0.0018812,              0.0018812
                      5,                0.74018,                    1.3,                0.69458,                 1.1335,                0.84893,                    0.8,                0.86874,                0.64589,                0.88354,                0.77755,                0.85627,                0.64321,                0.89759,                  1.495,                 0.8507,                 1.3973,              0.0018416,              0.0018416,              0.0018416
                      6,                0.73145,                 1.2986,                0.67769,                 1.1301,                0.90293,                0.81837,                0.87311,                0.68587,                0.89843,                0.81429,                0.87627,                0.64976,                0.78737,                 1.4968,                0.77739,                 1.2933,               0.001802,               0.001802,               0.001802
                      7,                0.72528,                 1.1954,                0.66925,                 1.1227,                0.87278,                0.79388,                0.86601,                0.65178,                0.86885,                 0.7898,                0.85977,                0.65511,                0.84831,                 1.3291,                0.84145,                 1.3268,              0.0017624,              0.0017624,              0.0017624
                      8,                0.73991,                 1.3169,                0.72623,                 1.1413,                0.85785,                 0.8102,                 0.8717,                0.65868,                0.86145,                0.82041,                0.87681,                0.64584,                0.82017,                 1.4226,                0.80668,                 1.3491,              0.0017228,              0.0017228,              0.0017228
                      9,                0.70829,                 1.2902,                0.67588,                 1.1244,                   0.65,                 0.7449,                0.73044,                0.53588,                0.62965,                0.71837,                 0.7133,                0.52101,                0.95623,                 1.4922,                 1.1515,                 1.4438,              0.0016832,              0.0016832,              0.0016832
                     10,                0.69806,                 1.2596,                 0.6546,                  1.117,                0.86811,                0.85968,                0.89033,                0.70889,                0.87006,                 0.8551,                0.88523,                0.67118,                 0.7226,                 1.3714,                0.75866,                 1.2458,              0.0016436,              0.0016436,              0.0016436
                     11,                0.69837,                 1.2168,                0.65161,                 1.1188,                0.88763,                0.75769,                0.85546,                0.61331,                0.87939,                0.74898,                0.84019,                0.61343,                0.89537,                 1.5315,                0.90916,                   1.38,               0.001604,               0.001604,               0.001604
