epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.486,0.63072,1.18486,0.62124,1.15756,0.88952,0.79442,0.87658,0.71177,0.90925,0.81204,0.89422,0.65071,0.70781,1.40354,0.6805,1.37598,0.000661499,0.000661499,0.000661499
2,321.187,0.74238,1.29756,0.71828,1.23726,0.8309,0.79001,0.84405,0.64758,0.8527,0.79589,0.86671,0.63133,0.81736,1.37781,0.82966,1.46632,0.00130187,0.00130187,0.00130187
3,445.121,0.79171,1.40275,0.79061,1.26974,0.87554,0.76799,0.8607,0.608,0.88915,0.77974,0.87993,0.60846,0.99871,1.43747,0.98472,1.60935,0.00191584,0.00191584,0.00191584
4,572.487,0.82126,1.44866,0.82197,1.28865,0.84875,0.78284,0.84752,0.63516,0.87575,0.77622,0.85639,0.61309,0.87272,1.4274,0.84985,1.55226,0.0018812,0.0018812,0.0018812
5,696.594,0.80658,1.46659,0.7862,1.2884,0.88764,0.7812,0.86985,0.66401,0.89668,0.78414,0.86769,0.58933,0.8126,1.56724,0.82541,1.46645,0.0018416,0.0018416,0.0018416
6,821.132,0.80629,1.46781,0.79484,1.26722,0.90698,0.75771,0.86166,0.6225,0.8891,0.77239,0.86983,0.59612,0.87504,1.42678,0.88965,1.54726,0.001802,0.001802,0.001802
7,945.24,0.77762,1.39044,0.79155,1.25786,0.83944,0.79076,0.83348,0.60277,0.85162,0.80029,0.85135,0.58767,0.91378,1.31511,0.88041,1.5801,0.0017624,0.0017624,0.0017624
8,1069.05,0.7775,1.41755,0.7869,1.25674,0.91852,0.78414,0.88824,0.71548,0.91396,0.79736,0.89705,0.67626,0.72939,1.31473,0.72881,1.37916,0.0017228,0.0017228,0.0017228
9,1195.1,0.76944,1.37342,0.74921,1.25627,0.90334,0.79595,0.88612,0.69248,0.91154,0.80197,0.89445,0.65852,0.76257,1.37099,0.74822,1.39988,0.0016832,0.0016832,0.0016832
10,1318.79,0.76128,1.4024,0.73485,1.25085,0.90414,0.77564,0.87033,0.67742,0.91918,0.78498,0.88225,0.63477,0.773,1.34776,0.76014,1.42298,0.0016436,0.0016436,0.0016436
11,1443.05,0.74071,1.37015,0.74409,1.24472,0.89617,0.8091,0.8844,0.68895,0.90778,0.81057,0.88691,0.65177,0.76186,1.29151,0.71589,1.4218,0.001604,0.001604,0.001604
12,1567.26,0.74003,1.35564,0.74485,1.23903,0.89103,0.80029,0.87744,0.68622,0.89164,0.80764,0.88796,0.65288,0.79054,1.38008,0.75631,1.39832,0.0015644,0.0015644,0.0015644
13,1691.03,0.7223,1.32039,0.71559,1.20925,0.88282,0.81864,0.88983,0.70568,0.8947,0.82966,0.90303,0.68207,0.73856,1.23167,0.73539,1.39885,0.0015248,0.0015248,0.0015248
14,1814.3,0.71378,1.26529,0.69244,1.20753,0.91671,0.8081,0.9031,0.72842,0.93675,0.82647,0.91405,0.70361,0.66601,1.17426,0.65104,1.30808,0.0014852,0.0014852,0.0014852
15,1939.19,0.68792,1.24407,0.67111,1.18226,0.88669,0.83884,0.90222,0.7319,0.92734,0.82673,0.91416,0.70411,0.66254,1.18374,0.65595,1.31892,0.0014456,0.0014456,0.0014456
16,2065.23,0.69504,1.24153,0.65788,1.21413,0.90485,0.81645,0.89355,0.73167,0.92294,0.8326,0.91395,0.69388,0.67948,1.21574,0.65408,1.33244,0.001406,0.001406,0.001406
17,2188.86,0.67008,1.22528,0.63937,1.18097,0.92655,0.83354,0.90718,0.72639,0.93627,0.8414,0.9174,0.69054,0.69911,1.25028,0.66405,1.32916,0.0013664,0.0013664,0.0013664
18,2313.77,0.7014,1.23467,0.65125,1.21015,0.92736,0.82487,0.90272,0.73597,0.93823,0.83554,0.91089,0.68988,0.68088,1.21351,0.64375,1.32052,0.0013268,0.0013268,0.0013268
19,2437.2,0.67626,1.22459,0.64934,1.18318,0.91336,0.81938,0.90151,0.74293,0.93997,0.82379,0.91054,0.70523,0.67306,1.15738,0.62988,1.29645,0.0012872,0.0012872,0.0012872
20,2562.13,0.66733,1.17742,0.63881,1.17947,0.90431,0.81875,0.90323,0.7456,0.94936,0.80617,0.9075,0.71301,0.64607,1.15483,0.62693,1.29978,0.0012476,0.0012476,0.0012476
21,2687.55,0.6507,1.17739,0.61812,1.16689,0.9157,0.81347,0.89532,0.7167,0.93479,0.8047,0.89913,0.69268,0.72161,1.17819,0.6509,1.36057,0.001208,0.001208,0.001208
22,2810.94,0.66317,1.21086,0.63782,1.16814,0.91938,0.83724,0.91389,0.75337,0.93041,0.84416,0.92022,0.73136,0.64482,1.09505,0.61668,1.28254,0.0011684,0.0011684,0.0011684
23,2937.67,0.63391,1.13833,0.62784,1.15635,0.93182,0.81791,0.90847,0.74964,0.94072,0.82526,0.91104,0.70085,0.62999,1.20451,0.60992,1.27786,0.0011288,0.0011288,0.0011288
24,3061.71,0.6073,1.1204,0.57768,1.1274,0.92634,0.83554,0.91264,0.75043,0.95291,0.83208,0.92164,0.71875,0.63172,1.13117,0.59741,1.29521,0.0010892,0.0010892,0.0010892
25,3185.89,0.62021,1.09635,0.58058,1.14428,0.92482,0.83088,0.90998,0.75818,0.92911,0.83847,0.90879,0.70781,0.62332,1.20071,0.60326,1.26615,0.0010496,0.0010496,0.0010496
